code;name;Код зони за ДБН головний;Код зони за ДСТУ головний;Код зони за ДБН другорядний;Код зони за ДСТУ другорядний;Код землі основний;Код основний;Код землі другорядний;Код другорядний
2224.2;Тролейбусні лінії;ТР-2;ТР-3;"ТР-1;ТР-1-2;ТР-1-3";ТР-2;12.07;"1.14;1.14.7;1.14.8;3.2.7;3.2.8";18.00;1.12.9
2224.3;Трансформаторні станції та підстанції місцевих електромереж;ІН-1;ІН-1;всі;всі;14.02;"1.10.3;3.1.3";всі;всі
2224.4;Місцеві телекомунікаційні лінії;;;всі;всі;13.05;"11.14;1.14.9";всі;всі
2224.5;Місцеві телевізійні кабельні мережі;;;всі;всі;13.05;"11.14;1.14.9";всі;всі
2224.9;Споруди місцевих електричних та телекомунікаційних мереж інші;ІН-1;ІН-1;всі;всі;13.05;"11.14;1.14.9";всі;всі
2301.1;Споруди підприємств нафтодобувної та газової промисловості;В-1…7;В-1…5;;;11.01;"1.10.1;3.1.1";11.02;"1.10;1.10.2;1.10.5;1.13.1;3.1;3.1.2;3.1.5"
2301.2;Шахти та споруди підприємств з добування вугілля та сланцю;В-1…7;В-1…5;;;11.01;"1.10.1;3.1.1";11.02;"1.10;1.10.2;1.10.5;1.13.1;3.1;3.1.2;3.1.5"
2301.3;Споруди підприємств торф’яної промисловості;В-1…7;В-1…5;;;11.01;"1.10.1;3.1.1";11.02;"1.10;1.10.2;1.10.5;1.13.1;3.1;3.1.2;3.1.5"
2301.4;Споруди підприємств з добування та збагачення рудної сировини для виробництва чорних металів;В-1…7;В-1…5;;;11.01;"1.10.1;3.1.1";11.02;"1.10;1.10.2;1.10.5;1.13.1;3.1;3.1.2;3.1.5"
2301.5;Споруди підприємств з добування та збагачення рудної сировини для виробництва кольорових металів;В-1…7;В-1…5;;;11.01;"1.10.1;3.1.1";11.02;"1.10;1.10.2;1.10.5;1.13.1;3.1;3.1.2;3.1.5"
2301.7;Споруди підприємств виробництва будівельних матеріалів (гіпсові, цементні, цегельні, черепичні заводи тощо);В-1…7;В-1…5;;;11.02;"1.10;1.10.2;1.10.5;1.13.1;3.1;3.1.2;3.1.5";11.01;"1.10.1;3.1.1"
2301.8;Споруди підприємств лісозаготівельної промисловості;В-1…7;В-1…5;;;09.02;"1.19;5.1";"09.01;11.02";"1.10;1.10.2;1.10.5;1.13.1;3.1;3.1.2;3.1.5"
2301.9;Споруди гірничопромислових та добувних підприємств інші;В-1…7;В-1…5;;;11.01;"1.10.1;3.1.1";11.02;"1.10;1.10.2;1.10.5;1.13.1;3.1;3.1.2;3.1.5"
2302.1;Електростанції гідравлічні та гідроакумуляційні;ІН-1;ІН-1;В-1…7;В-1…5;14.01;"1.10.3;3.1.3";14.02;"1.10.3;3.1.3"
2302.2;Електростанції теплові;ІН-1;ІН-1;В-1…7;В-1…5;14.01;"1.10.3;3.1.3";14.02;"1.10.3;3.1.3"
2302.3;Електростанції атомні;ІН-1;ІН-1;В-1…7;В-1…5;14.01;"1.10.3;3.1.3";14.02;"1.10.3;3.1.3"
2302.4;Електростанції на нетрадиційних джерелах енергії;ІН-1;ІН-1;В-1…7;В-1…5;14.01;"1.10.3;3.1.3";;
2302.5;Споруди підприємств зі збагачення та перероблення ядерних матеріалів;;;В-1…7;В-1…5;11.01;"1.10.1;3.1.1";11.02;"1.10;1.10.2;1.10.5;1.13.1;3.1;3.1.2;3.1.5"
2302.6;Споруди підприємств зі спалювання відходів;;;"КС;КС-1;КС-2;КС3;КС4;КС5;В-1…7";"КС-1;КС-2;КС-3;КС-4;КС-5;В-1…5";"14.01;11.02;11.04";"1.10.3;3.1.3;1.10;1.10.2;1.10.5;1.13.1;3.1;3.1.2;3.1.5";;
2302.9;Споруди підприємств електро- та теплоенергетики інші;ІН-1;ІН-1;В-1…7;В-1…5;14.01;"1.10.3;3.1.3";14.02;"1.10.3;3.1.3"
2303.1;Споруди підприємств содової, хлорної промисловості та з виробництва пластичних мас;В-1…7;В-1…5;;;11.02;"1.10;1.10.2;1.10.5;1.13.1;3.1;3.1.2;3.1.5";;
2303.2;Споруди підприємств лакофарбової промисловості та побутової хімії;В-1…7;В-1…5;;;11.02;"1.10;1.10.2;1.10.5;1.13.1;3.1;3.1.2;3.1.5";;
