code;name;Код зони за ДБН головний;Код зони за ДСТУ головний;Код зони за ДБН другорядний;Код зони за ДСТУ другорядний;Код землі основний;Код основний;Код землі другорядний;Код другорядний
1220.5;Адміністративно-побутові будівлі промислових підприємств;"В-1;В-2;В-3;В-4;В-5;В-6;В-7";"В-1;В-2;В-3;В-4;В-5";;;"11.01;11.02;11.03;11.04";"1.10.1;3.1.1;1.10;1.10.2;1.10.5;1.13.1;3.1;3.1.2;3.1.5;1.10.4;3.1.4";;
1220.9;Будівлі для конторських та адміністративних цілей інші;"Г-1;Г-2";Г-1;;;"03.10;03.15;13.02";"1.11;1.11.1;1.11.4;1.13.2;1.11.5;1.12.9;1.14.9;3.2;3.2.9";;
1230.1;Торгові центри, універмаги, магазини;Г-6;Г-5;"Г-1;Г-2;Г-4-3;Ж-1;Ж-2;Ж-3;Ж-4;Ж-5;Ж-6;Ж-7;Р-4;КЛ;КЛ-1;КЛ-2;КВТ;КВТ-1;КВТ-2;ТР-1;ТР-1-2;ТР-1-3;ІК-1;С-2;В-1;В-2;В-3;В-4;В-5;В-6;В-7;КС;Кс-1;Кс-2;Кс-3;Кс-4;Кс-5";"Г-1;Ж-1;Ж-2;Ж-3;Ж-4;Р-4;КС;КВТ;ТР-2;ІК;С-4;В-1;В-2;В-3;В-4;В-5;КС-1;КС-2;КС-3;КС-4;КС-5";"03.07;03.17";"1.11;1.11.2;1.11.3;1.11.6;1.6;1.11.3;1.11.6;1.17;2.6;4.3";"12.04;12.08;12.11;15.01;15.02;15.03;15.04;15.05;15.06;15.07;15.08;15.09;15.10";"1.14;1.14.2;3.2;3.2.2;1.12.2;3.3"
1230.2;Криті ринки, павільйони та зали для ярмарків;;;Г-6;Г-5;"03.07;01.12";"1.11;1.11.2;1.11.3;1.11.6";;
1230.3;Станції технічного обслуговування автомобілів;;;"ТР-1-3;С-2";"ТР-2;С-4";12.04;"1.14;1.14.2;3.2;3.2.2";"15.01;15.02;15.03;15.04;15.05;15.06;15.07;15.08;15.09;15.10";"1.12.2;3.3"
1230.4;Їдальні, кафе, закусочні тощо;;;"Г-1;Г-2;Г-3;Г-4;Г-5;Г-6;Ж-1;Ж-2;Ж-3;Ж-4;Ж-5;Ж-6;Ж-7;Р-3-3;Р-3-4;Р-4;КЛ;КЛ-1;КЛ-2;КВТ;КВТ-1;КВТ-2;ТР-1;ТР-1-1...4;ТР-2;ТР-2-1;ІН-1...3;КС;КС-1;КС-2;КС-3;КС-4;КС-5;В-1;В-2;В-3;В-4;В-5;В-6;В-7;С-1;С-2;С-3;С-4;СВ-1;СВ-2;ІК-1";"Г-1;Г-2;Г-3;Г-4;Г-5;Ж-1;Ж-2;Ж-3;Ж-4;Р-4;КС;КВТ;ТР-1;ТР-2;ТР-3;ІН-1...3;КС-1;КС-2;КС-3;КС-4;КС-5;В-1;В-2;В-3;В-4;В-5;С-1;С-2;С-3;С-4;С-5;ІК";"03.08;03.17";"1.11.3;1.11.6;1.12.9;4.3;1.6;1.11;1.17;2.6";"15.01;15.02;15.03;15.04;15.05;15.06;15.07;15.08;15.09;15.10;11.01...04;12.01...03;12.05...09;03.01;03.02;03.03;03.11;06.01;06.03;07.01;01.01;01.02;01.13;08.01;08.03;12.04;12.11";"1.12.2;3.3;1.10.1;3.1.1;1.10;1.10.2;1.10.5;1.13.1;1.14;1.14.1...9;3.2;3.2.1...10;3.1;3.1.2;3.1.5;1.10.4;3.1.4;1.12.1;1.12.3;1.12.5;1.11.5;1.16;4.2;1.17;4.3;1.1;2.1;1.5;2.5;1.6;1.7;2.6;2.7;1.18;4.4;1.14;1.14.2;3.2;3.2.2"
1230.5;Бази та склади підприємств торгівлі й громадського харчування;КС-4-1;КС-4;"В-1;В-2;В-3;В-4;В-5;В-6;В-7";"В-1;В-2;В-3;В-4;В-5";"03.07;11.02";"1.11;1.11.2;1.11.3;1.11.6;1.10;1.10.2;1.10.5;1.13.1;3.1;3.1.2;3.1.5";;
1230.6;Будівлі підприємств побутового обслуговування;Г-2-1;Г-5;"Г-1;Г-2;Ж-7";"Г-1;Ж-4";03.13;"1.11;1.11.3;1.11.6";;
1230.9;Будівлі торговельні інші;;;"Г-6;КС-4-1";"Г-5;КС-4";;;"03.07;11.02";"1.11;1.11.2;1.11.3;1.11.6;1.10;1.10.2;1.10.5;1.13.1;3.1;3.1.2;3.1.5"
1241.1;Автовокзали та інші будівлі автомобільного транспорту;ТР-1-2;;ТР-1;ТР-2;12.04;"1.14;1.14.2;3.2;3.2.2";;
1241.2;Вокзали та інші будівлі залізничного транспорту;ТР-1-2;;ТР-1;ТР-2;12.01;"1.14;1.14.1;3.2;3.2.1";;
1241.3;Будівлі міського електротранспорту;;;"ТР-1;ТР-1-2;ТР-1-3";ТР-2;12.07;"1.14;1.14.7;1.14.8;3.2.7;3.2.8";;
1241.4;Аеровокзали та інші будівлі повітряного транспорту;ТР-1-4;;ТР-1;ТР-2;12.05;"1.14;1.14.6;3.2;3.2.6";;
1241.5;Морські та річкові вокзали, маяки та пов’язані з ними будівлі;;;"ТР-1;ТР-1-2";ТР-2;"12.02;12.03";"1.14;1.14.4;1.14.5;3.2;3.2.4;3.2.5";;
1241.6;Будівлі станцій підвісних та канатних доріг;;;"ТР-1;ТР-1-2";ТР-2;12.09;"1.14;1.14.10;3.2.10";;
1241.7;Будівлі центрів радіо- та телевізійного мовлення, телефонних станцій, телекомунікаційних центрів тощо;;;"С-1;Г-2;Ж-7";С-3;"13.01;13.03;13.05";"1.14;1.14.9;1.14.10;3.2.9;3.2.10;3.4;11.14";;
1241.8;Ангари для літаків, локомотивні, вагонні, трамвайні та тролейбусні депо;;;"ТР-1-3;ТР-1-4";ТР-2;"12.01;12.05;12.07;12.08";"1.14;1.14.1;1.14.6;1.14.7;1.14.8;3.2;3.2.1;3.2.6;3.2.7;3.2.8";;
1241.9;Будівлі транспорту та засобів зв’язку інші;;;"ТР-1;ТР-1-2;ТР-1-3;ТР-1-4";;13.05;"11.14;1.14.9";"12.01;12.02;12.03;12.04;12.05;12.07;12.08;12.09";"1.14;1.14.1;1.14.2;1.14.4;1.14.5;1.14.6;1.14.7;1.14.8;1.14.10;3.2;3.2.1;3.2.2;3.2.4;3.2.5;3.2.6;3.2.7;3.2.8;3.2.10"
1242.1;Гаражі наземні;ТР-1-3;ТР-2;"Г-1;Г-2;Г-2-1;Г-3;Г-4;Г-4-2;Г-4-3;Г-4-4;Г-6;Ж-1;Ж-2;Ж-3;Ж-4;Ж-5;Ж-6;Ж-7;Р-3-3;Р-3-4;Р-4;КЛ;КЛ-1;КЛ-2;КВТ;КВТ-1;КВТ-2;ТР-1;ТР-1-1...4;ТР-2;ТР-2-1;ІН-1...3;КС;КС-1;КС-2;КС-3;КС-4;КС-5;В-1;В-2;В-3;В-4;В-5;В-6;В-7;С-1;С-2;С-3;С-4;СВ-1;СВ-2;ІК-1";"Г-1;Г-2;Г-3;Г-5;Ж-1;Ж-2;Ж-3;Ж-4;Р-4;КС;КВТ;ТР-1;ТР-2;ТР-3;ІН-1...3;КС-1;КС-2;КС-3;КС-4;КС-5;В-1;В-2;В-3;В-4;В-5;С-1;С-2;С-3;С-4;С-5;ІК";"02.05;02.06";"1.8;1.9";"01.01...09.03;11.01...15.10";всі
1242.2;Гаражі підземні;;;"Г-1;Г-2;Г-2-1;Г-3;Г-4;Г-4-2;Г-4-3;Г-4-4;Г-6;Ж-1;Ж-2;Ж-3;Ж-4;Ж-5;Ж-6;Ж-7;Р-2;Р-3;Р-4;КЛ;КЛ-1;КЛ-2;КВТ;КВТ-1;КВТ-2;ТР-1;ТР-1-1...4;ТР-2;ТР-2-1;ІН-1...3;КС;КС-1;КС-2;КС-3;КС-4;КС-5;В-1;В-2;В-3;В-4;В-5;В-6;В-7;С-1;С-2;С-3;С-4;СВ-1;СВ-2;ІК-1";"Г-1;Г-2;Г-3;Г-5;Ж-1;Ж-2;Ж-3;Ж-4;Р-2;Р-3;Р-4;КС;КВТ;ТР-1;ТР-2;ТР-3;ІН-1...3;КС-1;КС-2;КС-3;КС-4;КС-5;В-1;В-2;В-3;В-4;В-5;С-1;С-2;С-3;С-4;С-5;ІК";;;всі;всі
1242.3;Стоянки автомобільні криті;ТР-1-3;ТР-2;"Г-1;Г-2;Г-2-1;Г-3;Г-4;Г-4-2;Г-4-3;Г-4-4;Г-6;Ж-1;Ж-2;Ж-3;Ж-4;Ж-5;Ж-6;Ж-7;Р-3-3;Р-3-4;Р-4;КЛ;КЛ-1;КЛ-2;КВТ;КВТ-1;КВТ-2;ТР-1;ТР-1-1...4;ТР-2;ТР-2-1;ІН-1...3;КС;КС-1;КС-2;КС-3;КС-4;КС-5;В-1;В-2;В-3;В-4;В-5;В-6;В-7;С-1;С-2;С-3;С-4;СВ-1;СВ-2;ІК-1";"Г-1;Г-2;Г-3;Г-5;Ж-1;Ж-2;Ж-3;Ж-4;Р-4;КС;КВТ;ТР-1;ТР-2;ТР-3;ІН-1...3;КС-1;КС-2;КС-3;КС-4;КС-5;В-1;В-2;В-3;В-4;В-5;С-1;С-2;С-3;С-4;С-5;ІК";"02.09;12.04";"1.14;1.14.2;3.2;3.2.2";"01.01...09.03;11.01...15.10";всі
1242.4;Навіси для велосипедів;;;всі;всі;;;всі;всі
1251.1;Будівлі підприємств машинобудування та металообробної промисловості;В-1…7;В-1…5;;;11.02;"1.10;1.10.2;1.10.5;1.13.1;3.1;3.1.2;3.1.5";;
1251.2;Будівлі підприємств чорної металургії;В-1…7;В-1…5;;;11.02;"1.10;1.10.2;1.10.5;1.13.1;3.1;3.1.2;3.1.5";;
1251.3;Будівлі підприємств хімічної та нафтохімічної промисловості;В-1…7;В-1…5;;;11.02;"1.10;1.10.2;1.10.5;1.13.1;3.1;3.1.2;3.1.5";;
1251.4;Будівлі підприємств легкої промисловості;В-1…7;В-1…5;;;11.02;"1.10;1.10.2;1.10.5;1.13.1;3.1;3.1.2;3.1.5";;
1251.5;Будівлі підприємств харчової промисловості;В-1…7;В-1…5;;;11.02;"1.10;1.10.2;1.10.5;1.13.1;3.1;3.1.2;3.1.5";;
1251.6;Будівлі підприємств медичної та мікробіологічної промисловості;В-1…7;В-1…5;;;11.02;"1.10;1.10.2;1.10.5;1.13.1;3.1;3.1.2;3.1.5";;
1251.7;Будівлі підприємств лісової, деревообробної та целюлозно-паперової промисловості;В-1…7;В-1…5;;;"09.01;09.02;11.02";"1.19;5.1;1.10;1.10.2;1.10.5;1.13.1;3.1;3.1.2;3.1.5";;
1251.8;Будівлі підприємств будівельної індустрії, будівельних матеріалів та виробів, скляної та фарфоро-фаянсової промисловості;В-1…7;В-1…5;;;"11.03;11.02";"1.10.4;3.1.4;1.10;1.10.2;1.10.5;1.13.1;3.1;3.1.2;3.1.5";;
1251.9;Будівлі інших промислових виробництв, включаючи поліграфічне;В-1…7;В-1…5;;;11.02;"1.10;1.10.2;1.10.5;1.13.1;3.1;3.1.2;3.1.5";;
1252.1;Резервуари для нафти, нафтопродуктів та газу;КС-4-1;КС-4;"В-1…7;ТР-1-3";"В-1…5;ТР-2";;;"11.02;12.04";"1.10;1.10.2;1.10.5;1.13.1;3.1;3.1.2;3.1.5;1.14;1.14.2;3.2;3.2.2"
1252.2;Резервуари та ємності інші;;;"КС;КС-1;КС-2;КС3;КС4;КС-4-1;КС5;В-1…7";"КС-1;КС-2;КС-3;КС-4;КС-5;В-1…5";;;11.02;"1.10;1.10.2;1.10.5;1.13.1;3.1;3.1.2;3.1.5"
1252.3;Силоси для зерна;КС-4-1;КС-4;СВ-2;;"11.02;01.01;01.02;01.03;01.04;01.09;01.10;01.11;01.13";"1.10;1.10.2;1.10.5;1.13.1;3.1;3.1.2;3.1.5;1.1;2.1;1.5;2.5;1.2;2.2;1.4;2.4;1.3;2.3;1.6;1.7;2.6;2.7";;
1252.4;Силоси для цементу та інших сипучих матеріалів;;;"КС;КС-1;КС-2;КС3;КС4;КС-4-1;КС5;В-1;В-2;В-3;В-4;В-5;В-6;В-7";"КС-1;КС-2;КС-3;КС-4;КС-5;В-1;В-2;В-3;В-4;В-5";;;11.02;"1.10;1.10.2;1.10.5;1.13.1;3.1;3.1.2;3.1.5"
1252.5;Склади спеціальні товарні;КС-4-1;КС-4;"В-1;В-2;В-3;В-4;В-5;В-6;В-7";"В-1;В-2;В-3;В-4;В-5";11.02;"1.10;1.10.2;1.10.5;1.13.1;3.1;3.1.2;3.1.5";;
1252.6;Холодильники;КС-4-1;КС-4;"КС;КС-1;КС-2;КС3;КС4;КС5;В-1;В-2;В-3;В-4;В-5;В-6;В-7";"КС-1;КС-2;КС-3;КС-5;В-1;В-2;В-3;В-4;В-5";11.02;"1.10;1.10.2;1.10.5;1.13.1;3.1;3.1.2;3.1.5";;
1252.7;Складські майданчики;КС-4-1;КС-4;"КС;КС-1;КС-2;КС3;КС4;КС5;В-1;В-2;В-3;В-4;В-5;В-6;В-7";"КС-1;КС-2;КС-3;КС-5;В-1;В-2;В-3;В-4;В-5";"11.02;13.02";"1.10;1.10.2;1.10.5;1.13.1;3.1;3.1.2;3.1.5;1.14.9;3.2;3.2.9";;
1252.8;Склади універсальні;КС-4-1;КС-4;"КС;КС-1;КС-2;КС3;КС4;КС5;В-1;В-2;В-3;В-4;В-5;В-6;В-7";"КС-1;КС-2;КС-3;КС-5;В-1;В-2;В-3;В-4;В-5";"11.02;13.02";"1.10;1.10.2;1.10.5;1.13.1;3.1;3.1.2;3.1.5;1.14.9;3.2;3.2.9";;
1252.9;Склади та сховища інші;КС-4-1;КС-4;"КС;КС-1;КС-2;КС3;КС4;КС5;В-1;В-2;В-3;В-4;В-5;В-6;В-7";"КС-1;КС-2;КС-3;КС-5;В-1;В-2;В-3;В-4;В-5";"11.02;13.02";"1.10;1.10.2;1.10.5;1.13.1;3.1;3.1.2;3.1.5;1.14.9;3.2;3.2.9";;
1261.1;Театри, кінотеатри та концертні зали;"Г-1;Г-2;Г-4-2;Г-4-3";Г-1;"Г-1;Г-3;Ж-7";"Г-2;Г-3;Ж-4";03.05;1.12.4;"03.02;03.11";"1.12.3;1.11.5"
1261.2;Зали засідань та багатоцільові зали для публічних виступів;"Г-2;Г-4-2";Г-1;"Г-1;Г-3;Ж-7";"Г-2;Г-3;Ж-4";03.05;1.12.4;"03.01;03.02;03.11";"1.12.1;1.12.3;1.11.5"
1261.3;Цирки;;;"Г-2;Г-4-2;Г-4-3";Г-3;03.05;1.12.4;;
1261.4;Казино, ігорні будинки;;;;;;;;
1261.5;Музичні та танцювальні зали, дискотеки;"Г-2;Г-4-3";Г-1;"Г-1;Г-3";"Г-2;Г-3";03.05;1.12.4;03.02;1.12.3
1261.9;Будівлі для публічних виступів інші;"Г-2;Г-4-2;Г-4-3";Г-1;"Г-1;Г-3;Ж-7";"Г-2;Г-3;Ж-4";"03.05;03.15";"1.12.4;1.11.5;1.12.9";"03.01;03.02;03.11";"1.12.1;1.12.3;1.11.5"
1262.1;Музеї та художні галереї;"Г-1;Г-2;Г-4-2";"Г-1;Г-3";"Ж-1;Ж-2;Ж-3;Ж-4;Ж-5;Ж-6;Ж-7;Г-3;КЛ;КВТ;В-1;В-2;В-3;В-4;В-5;В-6;В-7;КС-1;КС-2;КС-3;КС-4;КС-5;ТР-1;ТР-2;Р-3-3;Р-3-4;СВ-2;ІК-1;Г-5;Г-5-1;Г-5-2;Г-5-3";"Ж-1;Ж-2;Ж-3;Ж-4;Г-2;КС;КВТ;В-1;В-2;В-3;В-4;В-5;КС-1;КС-2;КС-3;КС-4;КС-5;ТР-1;ТР-2;ТР-3;ІК;Г-4";"08.02;03.17";"1.18;4.4;4.3;1.6;1.11;1.11.3;1.11.6;1.17;2.6";"03.01;03.02;03.11";"1.12.1;1.12.3;1.11.5"
1262.2;Бібліотеки, книгосховища;"Г-1;Г-2;Г-3;Г-4-2;Ж-7";"Г-1;Г-2;Г-3;Ж-4";;;"03.02;03.05;03.11";"1.12.3;1.12.4;1.11.5";;
1262.3;Технічні центри;"Г-1;Г-2;Г-3;Г-4-2;Ж-7";"Г-1;Г-2;Г-3;Ж-4";;;"03.02;03.05;03.11";"1.12.3;1.12.4;1.11.5";;
1262.4;Планетарії;"Г-1;Г-2;Г-3;Г-4-2;Ж-7";"Г-1;Г-2;Г-3;Ж-4";;;"03.02;03.05;03.11";"1.12.3;1.12.4;1.11.5";;
1262.5;Будівлі архівів;"Г-1;Г-2;Г-3;Г-4-2;Ж-7";"Г-1;Г-2;Г-3;Ж-4";;;"03.02;03.05;03.11";"1.12.3;1.12.4;1.11.5";;
1262.6;Будівлі зоологічних та ботанічних садів;"Р-1;Г-3";"Р-1;Г-2";"Г-1;Г-2";Г-1;;;"04.04;04.05;03.02;03.11";"1.15;4.1;1.12.3;1.11.5"
1263.1;Будівлі науково-дослідних та проектно-вишукувальних установ;Г-2;Г-2;;;"03.11;01.09;03.02";"1.11.5;1.3;2.3";;
1263.2;Будівлі вищих навчальних закладів;Г-3;Г-2;;;"03.02;01.09";"1.12.3;1.3;2.3";;
1263.3;Будівлі шкіл та інших середніх навчальних закладів;Г-3-1;;"Г-1;Г-2;Г-3;Ж-1;Ж-2;Ж-3;Ж-4;Ж-5;Ж-6;Ж-7";"Г-1;Г-2;Ж-1;Ж-2;Ж-3;Ж-4";"03.02;01.09";1.12.3;;
1263.4;Будівлі професійно-технічних навчальних закладів;Г-3;Г-2;"Г-1;Г-2;Г-3;Ж-1;Ж-2;Ж-3;Ж-4;Ж-5;Ж-6;Ж-7";"Г-1;Ж-1;Ж-2;Ж-3;Ж-4";"03.02;01.09";"1.12.3;1.3;2.3";;
1263.5;Будівлі дошкільних та позашкільних навчальних закладів;Г-3-1;;"Г-1;Г-2;Г-3;Ж-1;Ж-2;Ж-3;Ж-4;Ж-5;Ж-6;Ж-7";"Г-1;Г-2;Ж-1;Ж-2;Ж-3;Ж-4";03.02;1.12.3;;
1263.6;Будівлі спеціальних навчальних закладів для дітей з фізичними або розумовими вадами;Г-3-3;;"Г-1;Г-2;Г-3;Ж-1;Ж-2;Ж-3;Ж-4;Ж-5;Ж-6;Ж-7";"Г-1;Г-2;Ж-1;Ж-2;Ж-3;Ж-4";03.02;1.12.3;;
1263.7;Будівлі закладів з фахової перепідготовки;"Г-3;Г-3-2;Г-2";Г-2;"Г-1;Ж-1;Ж-2;Ж-3;Ж-4;Ж-5;Ж-6;Ж-7";"Г-1;Ж-1;Ж-2;Ж-3;Ж-4";03.03;1.12.5;;
1263.8;Будівлі метеорологічних станцій, обсерваторій;;;"Г-2;Р-1;Р-3-2";"Г-1;Р-1;Р-3";"03.11;03.03";1.11.5;;
1263.9;Будівлі освітніх та науково-дослідних закладів інші;;;"Г-1;Г-2;Г-3;Ж-1;Ж-2;Ж-3;Ж-4;Ж-5;Ж-6;Ж-7";"Г-1;Г-2;Ж-1;Ж-2;Ж-3;Ж-4";"03.02;03.11;01.09";"1.12.3;1.11.5";;
1264.1;Лікарні багатопрофільні територіального обслуговування, навчальні заклади;"Г-5-1;Г-5";Г-4;;;03.03;1.12.5;;
1264.2;Лікарні профільні, диспансери;"Г-5-1;Г-5";Г-4;;;03.03;1.12.5;;
1264.3;Материнські та дитячі реабілітаційні центри, пологові будинки;"Г-5-1;Г-5";Г-4;;;03.03;1.12.5;;
1264.4;Поліклініки, пункти медичного обслуговування та консультації;"Г-5-1;Г-5";Г-4;"Ж-1;Ж-2;Ж-3;Ж-4;Ж-5;Ж-6;Ж-7;Г-2";"Ж-1;Ж-2;Ж-3;Ж-4;Г-1";03.03;1.12.5;;
1264.5;Шпиталі виправних закладів, в’язниць та збройних сил;"С-2;С-3;Г-5;Г-5-1";"С-4;С-5;Г-4";;;"15.01;15.02;15.03;15.04;15.05;15.06;15.07;15.09;15.10";"1.12.2;3.3";;
1264.6;Санаторії, профілакторії та центри функціональної реабілітації;"КЛ-1;КЛ-2";КС;С-2;С-4;"06.01;10.11";"1.16;4.2";"15.01;15.02;15.03;15.04;15.05;15.06;15.07;15.08;15.09;15.10";"1.12.2;3.3"
1264.9;Заклади лікувально-профілактичні та оздоровчі інші;;;"Г-5;Г-5-1;КЛ-1;КЛ-2;С-2";"Г-4;КС;С-4";;;"06.01;03.03;10.11;15.01;15.02;15.03;15.04;15.05;15.06;15.07;15.08;15.09;15.10";"1.16;4.2;1.12.5;1.12.2;3.3"
1265.1;Зали гімнастичні, баскетбольні, волейбольні, тенісні тощо;Г-4-1;Г-3;"Г-1;Г-2;Г-3;Г-3-1;Г-4;Ж-1;Ж-2;Ж-3;Ж-4;Ж-5;Ж-6;Ж-7";"Г-1;Г-2;Ж-1;Ж-2;Ж-3;Ж-4";07.02;"1.12.7;1.17;4.3";"03.02;03.05";"1.12.3;1.12.4"
1265.2;Басейни криті для плавання;Г-4-2;Г-3;"Г-1;Г-2;Г-3;Г-3-1;Г-4;Ж-1;Ж-2;Ж-3;Ж-4;Ж-5;Ж-6;Ж-7";"Г-1;Г-2;Ж-1;Ж-2;Ж-3;Ж-4";07.02;"1.12.7;1.17;4.3";"03.02;03.05";"1.12.3;1.12.4"
1265.3;Хокейні та льодові стадіони криті;Г-4-3;Г-3;"Г-1;Г-2;Г-3;Г-3-1;Г-4;Ж-1;Ж-2;Ж-3;Ж-4;Ж-5;Ж-6;Ж-7";"Г-1;Г-2;Ж-1;Ж-2;Ж-3;Ж-4";07.02;"1.12.7;1.17;4.3";"03.02;03.05";"1.12.3;1.12.4"
1265.4;Манежі легкоатлетичні;Г-4-4;Г-3;"Г-1;Г-2;Г-3;Г-3-1;Г-4;Ж-1;Ж-2;Ж-3;Ж-4;Ж-5;Ж-6;Ж-7";"Г-1;Г-2;Ж-1;Ж-2;Ж-3;Ж-4";07.02;"1.12.7;1.17;4.3";"03.02;03.05";"1.12.3;1.12.4"
1265.5;Тири;Г-4-5;Г-3;"Г-1;Г-2;Г-3;Г-3-1;Г-4";"Г-1;Г-2";07.02;"1.12.7;1.17;4.3";"03.02;03.05;15.01;15.02;15.03;15.04;15.05;15.06;15.07;15.08;15.09;15.10";"1.12.3;1.12.4;1.12.2;3.3"
1265.9;Зали спортивні інші;Г-4-1;Г-3;"Г-1;Г-2;Г-3;Г-3-1;Г-4;Ж-1;Ж-2;Ж-3;Ж-4;Ж-5;Ж-6;Ж-7";"Г-1;Г-2;Ж-1;Ж-2;Ж-3;Ж-4";07.02;"1.12.7;1.17;4.3";"03.02;03.05;15.01;15.02;15.03;15.04;15.05;15.06;15.07;15.08;15.09;15.10";"1.12.3;1.12.4;1.12.2;3.3"
1271.1;Будівлі для тваринництва;СВ-2;"В-1;В-2;В-3;В-4;В-5";;;"01.01;01.02;01.03;01.04;01.09;01.10;01.11";"1.1;2.1;1.5;2.5;1.2;2.2;1.4;2.4;1.3;2.3";;
1271.2;Будівлі для птахівництва;СВ-2;"В-1;В-2;В-3;В-4;В-5";;;"01.01;01.02;01.03;01.04;01.09;01.10;01.11";"1.1;2.1;1.5;2.5;1.2;2.2;1.4;2.4;1.3;2.3";;
1271.3;Будівлі для зберігання зерна;СВ-2;"В-1;В-2;В-3;В-4;В-5";;;"01.01;01.02;01.03;01.04;01.09;01.10;01.11";"1.1;2.1;1.5;2.5;1.2;2.2;1.4;2.4;1.3;2.3";;
1271.4;Будівлі силосні та сінажні;СВ-2;"В-1;В-2;В-3;В-4;В-5";;;"01.01;01.02;01.03;01.04;01.09;01.10;01.11";"1.1;2.1;1.5;2.5;1.2;2.2;1.4;2.4;1.3;2.3";;
1271.5;Будівлі для садівництва, виноградарства та виноробства;СВ-2;"В-1;В-2;В-3;В-4;В-5";;;"01.01;01.02;01.03;01.04;01.05;01.06;01.09;01.10;01.11";"1.1;2.1;1.5;2.5;1.2;2.2;1.4;2.4;1.3;2.3";;
1271.6;Будівлі тепличного господарства;СВ-2;"В-1;В-2;В-3;В-4;В-5";;;"01.01;01.02;01.03;01.04;01.09;01.10;01.11";"1.1;2.1;1.5;2.5;1.2;2.2;1.4;2.4;1.3;2.3";;
1271.7;Будівлі рибного господарства;;;"В-1;В-2;В-3;В-4;В-5;В-6;В-7;СВ-2";"В-1;В-2;В-3;В-4;В-5";11.02;"1.10;1.10.2;1.10.5;1.13.1;3.1;3.1.2;3.1.5";"01.01;01.02;01.03;01.04;01.09;01.10;01.11";"1.1;2.1;1.5;2.5;1.2;2.2;1.4;2.4;1.3;2.3"
1271.8;Будівлі підприємств лісівництва та звірівництва;;;"В-1;В-2;В-3;В-4;В-5;В-6;В-7;СВ-2";"В-1;В-2;В-3;В-4;В-5";"09.01;09.02;01.01;01.02;01.03;01.04;01.09";"1.19;5.1;1.1;2.1;1.5;2.5;1.2;2.2;1.4;2.4;1.3;2.3";"03.02;03.11";"1.12.3;1.11.5"
1271.9;Будівлі сільськогосподарського призначення інші;;;СВ-2;"В-1;В-2;В-3;В-4;В-5";;;"01.01;01.02;01.03;01.04;01.05;01.06;01.09;01.10;01.11";"1.1;2.1;1.5;2.5;1.2;2.2;1.4;2.4;1.3;2.3"
1272.1;Церкви, собори, костьоли, мечеті, синагоги тощо;Г-4-4;Г-3;"Г-1;Г-2";Г-3;03.04;1.12.6;;
1272.2;Похоронні бюро та ритуальні зали;КС-3-1;КС-3;"Г-2;Г-2-1;Г-5;Г-5-1";"Г-1;Г-4";03.13;1.11;;
1272.3;Цвинтарі та крематорії;КС-3-1;КС-3;;;"03.12;07.01;18.00";"1.12.9;1.17;4.3";;
1273.1;Пам’ятки історії та архітектури;ІК-1;ІК;всі;всі;"08.01;08.02;08.03";"1.18;4.4";всі;всі
1273.2;Археологічні розкопки, руїни та історичні місця, що охороняються державою;ІК-1;ІК;всі;всі;"08.01;08.02;08.03";"1.18;4.4";всі;всі
1273.3;Меморіали, художньо-декоративні будівлі, статуї;"Р-3-3;Р-3-4";"С-1;С-2";всі;всі;18.00;;всі;всі
1274.1;Казарми Збройних Сил;;;С-2;С-4;"15.01;15.02;15.03;15.04;15.05;15.06;15.07;15.08;15.09;15.10";"1.12.2;3.3";;
1274.2;Будівлі міліцейських та пожежних служб;;;"Г-1;Г-2;Г-3;Г-4;Г-5;Г-6;Ж-1;Ж-2;Ж-3;Ж-4;Ж-5;Ж-6;Ж-7;Р-4;КЛ;КЛ-1;КЛ-2;КВТ;КВТ-1;КВТ-2;ТР-1;ТР-1-1...4;ТР-2;ТР-2-1;ІН-1...3;КС;КС-1;КС-2;КС-3;КС-4;КС-5;В-1;В-2;В-3;В-4;В-5;В-6;В-7;С-1;С-2;С-3;С-4;СВ-1;СВ-2;ІК-1";"Г-1;Г-2;Г-3;Г-4;Г-5;Ж-1;Ж-2;Ж-3;Ж-4;Р-4;КС;КВТ;ТР-1;ТР-2;ТР-3;ІН-1...3;КС-1;КС-2;КС-3;КС-4;КС-5;В-1;В-2;В-3;В-4;В-5;С-1;С-2;С-3;С-4;С-5;ІК";"03.14;15.02;15.09;15.10";"1.12.2;1.12.2;3.3";15.04;"1.12.2;3.3"
1274.3;Будівлі виправних закладів, в’язниць та слідчих ізоляторів;С-3;С-5;Г-2;Г-1;15.07;"1.12.2;3.3";;
1274.4;Будівлі лазень та пралень;;;"Г-2-1;Ж-1;Ж-2;Ж-3;Ж-4;Ж-5;Ж-6;Ж-7;КС-1;КС-2;КС-3;КС-4;КС-5;В-1;В-2;В-3;В-4;В-5;В-6;В-7";"Г-5;Ж-1;Ж-2;Ж-3;Ж-4;КС-1;КС-2;КС-3;КС-4;КС-5;В-1;В-2;В-3;В-4;В-5";"03.13;11.02";"1.11;1.10;1.10.2;1.10.5;1.13.1;3.1;3.1.2;3.1.5";;
1274.5;Будівлі з облаштування населених пунктів;;;"КС-1;КС-2;КС-3;КС-4;КС-5";"КС-1;КС-2;КС-3;КС-4;КС-5";"03.12;18.00";1.12.9;;
