code;name;main;secondary
30200.0;території під багаторічними насадженнями;"01.01;01.02;01.03;01.04;01.05;01.06;01.09;04.01;04.03;04.08;04.10;04.11;05.01;08.01";"11.04;13.01;13.03;14.02 (в частині розміщення об’єктів розподільчих мереж)"
30201.0;території під садами;"01.01;01.02;01.03;01.04;01.05;01.06;01.09;04.01;04.03;04.08;04.10;04.11;05.01;08.01";"11.04;13.01;13.03;14.02 (в частині розміщення об’єктів розподільчих мереж)"
30202.0;території під плантаціями;"01.01;01.02;01.03;01.04;01.09;04.01;04.03;04.08;04.10;04.11;05.01;08.01";"11.04;13.01;13.03;14.02 (в частині розміщення об’єктів розподільчих мереж)"
30203.0;території під розсадниками;"01.01;01.02;01.03;01.04;01.09;04.01;04.03;04.08;04.10;04.11;05.01;08.01";"11.04;13.01;13.03;14.02 (в частині розміщення об’єктів розподільчих мереж)"
30300.0;території для сінокосіння та випасання худоби;"01.08;04.01;04.02;04.03;04.08;04.09;04.10;04.11;05.01;08.01;10.06;10.16";"11.04;13.01;13.03;14.02 (в частині розміщення об’єктів розподільчих мереж)"
30301.0;території для сінокосіння;"01.08;04.01;04.02;04.03;04.08;04.09;04.10;04.11;05.01;08.01;10.06;10.16";"11.04;13.01;13.03;14.02 (в частині розміщення об’єктів розподільчих мереж)"
30302.0;території для випасання худоби;"01.08;04.01;04.02;04.03;04.08;04.09;04.10;04.11;05.01;08.01";"11.04;13.01;13.03;14.02 (в частині розміщення об’єктів розподільчих мереж)"
30400.0;території для розміщення сільськогосподарських будівель і дворів;"01.15;08.01";"04.10;05.01;11.07;11.04;13.01;13.03;14.02 (в частині розміщення об’єктів розподільчих мереж) "
30500.0;території під полезахисними лісовими смугами;"01.16;04.01;04.03;04.08;04.09;04.10;04.11;05.01;08.01;11.07";"11.04;13.01;13.03;14.02 (в частині розміщення об’єктів транспортування та розподілу)"
40000;Природоохоронні та ландшафтно-рекреаційні території;;
40100.0;рекреаційно-туристичні території;"04.01;04.02;04.03;04.08;04.09;04.10;04.11;05.01;07.08;08.01;09.02";"03.03;03.05;03.08;03.17;06.01;07.01;07.02;10.08;03.07;03.14 (в частині об’єктів, які не потребують встановлення санітарних обмежень на прилеглі території);13.02 (в частині поштових відділень);11.04;13.01;13.03;14.02 (в частині розміщення об’єктів розподільчих мереж) "
40101.0;території санаторно-курортних та оздоровчих закладів;"06.01;08.01;10.11";"03.03;04.10;06.02;06.03;10.08;03.14 (в частині об’єктів, які не потребують встановлення санітарних обмежень на прилеглі території);11.04;13.01;13.03;14.02 (в частині розміщення об’єктів розподільчих мереж) "
40102.0;території рекреаційно-туристичних закладів та рекреаційного житла;"03.08;03.17;07.01;08.01;10.08";"03.03;04.10;06.02;06.03;10.08;03.14 (в частині об’єктів, які не потребують встановлення санітарних обмежень на прилеглі території);11.04;13.01;13.03;14.02 (в частині розміщення об’єктів розподільчих мереж) "
40103.0;території природних ландшафтів, призначені для рекреаційних цілей;"04.01;04.02;04.03;04.08;04.09;04.10;04.11;05.01;07.08;08.01;09.02";"11.04;13.01;13.03;14.02 (в частині розміщення об’єктів розподільчих мереж)"
40104.0;території пляжів;"08.01;10.08;10.15";"04.10;05.01;10.02;"
40200.0;території лісів;"04.01;04.02;04.03;04.08;04.09;04.10;04.11;05.01;07.08;08.01;09.01;09.02;11.07";"11.04;13.01;13.03;14.02 (в частині розміщення об’єктів транспортування та розподілу)"
40201.0;захисні ліси;"04.01;04.02;04.03;04.08;04.09;04.10;04.11;05.01;09.02;11.07";"11.04;13.01;13.03;14.02 (в частині розміщення об’єктів транспортування та розподілу)"
40202.0;рекреаційно-оздоровчі ліси;"04.01;04.02;04.03;04.08;04.09;04.10;04.11;05.01;07.08;09.02";"06.03;11.04;13.01;13.03;14.02 (в частині розміщення об’єктів розподільчих мереж)"
40203.0;ліси природоохоронного, наукового, історико-культурного призначення;"04.01;04.02;04.03;04.08;04.09;04.10;04.11;05.01;08.01";"08.03;09.02;11.04;13.01;13.03;14.02 (в частині розміщення об’єктів розподільчих мереж)"
40204.0;експлуатаційні ліси;"04.01;04.02;04.03;04.08;04.09;04.10;04.11;05.01;09.01;09.02;11.07";"11.04;13.01;13.03;14.02 (в частині розміщення об’єктів транспортування та розподілу)"
40300.0;озеленені території;"04.04;04.05;04.06;04.07;04.10;05.01;07.08;08.01;11.07;14.05";"11.04;13.01;13.03;14.02 (в частині розміщення об’єктів розподільчих мереж)"
40301.0;зелені насадження загального користування;"04.04;04.05;04.06;04.07;04.10;05.01;07.08;08.01";"11.04;13.01;13.03;14.02 (в частині розміщення об’єктів розподільчих мереж)"
40302.0;зелені насадження спеціального призначення;"04.10;05.01;08.01;11.07;14.05";"11.04;13.01;13.03;14.02 (в частині розміщення об’єктів транспортування та розподілу)"
40400.0;поверхневі води/водні об’єкти;"04.01;04.02;04.03;04.04;04.05;04.06;04.07;04.08;04.09;04.10;04.11;08.01;10.01;10.14";
40500.0;території природно-заповідного фонду, вилучені з господарського використання;"04.01;04.02;04.03;04.04;04.05;04.06;04.07;04.08;04.09;04.10;04.11";"11.04;13.01;13.03;14.02 (в частині розміщення об’єктів розподільчих мереж)"
40600.0;території природних ландшафтів, призначені для проведення науково-дослідних робіт;"04.01;04.02;04.03;04.08;04.09;04.10;04.11;05.01;08.01";"11.04;13.01;13.03;14.02 (в частині розміщення об’єктів розподільчих мереж)"
